case_id,ramp1,hold1_T,hold1_d,ramp2,hold2_T,hold2_d,htc_bot,htc_top,tool_len,t_ramp1_end,t_hold1_end,t_ramp2_end,t_hold2_end,T_min,T_max,start_near_T_ini,max_not_too_high,min_not_too_low,ramp1_slope_ok,hold1_temp_ok,ramp2_slope_ok,hold2_temp_ok,overall
0,1.511970524505752,108.57343023892237,62.74295827582351,1.8440371795214099,176.11413603176507,100.06877086551357,55.93626963467719,92.1035507203715,0.033677285011061424,58.58145301336224,121.32441128918575,157.950953607802,258.0197244733156,20.0,176.11413603176507,True,True,True,True,True,True,True,True
1,2.0239229155674066,101.22766881959974,59.62644253349874,1.5847178243670437,180.8346476110373,109.45896243500542,67.18063554587387,79.22494978353417,0.02375621088281827,40.133775943155214,99.76021847665396,149.99438481679314,259.45334725179856,20.0,180.8346476110373,True,True,True,True,True,True,True,True
2,2.9331692814181234,113.48932971460846,68.60612925579491,2.6515764892130687,181.084530024773,106.3665427182595,50.36276830564424,78.2704254114177,0.03845845599394308,31.873144965369473,100.47927422116439,125.97173147636707,232.33827419462656,20.0,181.084530024773,True,True,True,True,True,True,True,True
3,2.3790461819480355,108.62477504614394,51.64110521486444,1.8977964831485736,178.20254369404935,109.42633108097158,57.27361472031421,77.93466621637899,0.02655701500647753,37.25222978797968,88.89333500284411,125.55573229661039,234.98206337758197,20.0,178.20254369404935,True,True,True,True,True,True,True,True
4,2.183775467943292,105.30195514589883,62.86741097450955,2.1477383731920736,177.16773424519425,105.74786784356334,76.94967341725292,80.68291096716007,0.03290116882987785,39.061687613075584,101.92909858758514,135.3902407808426,241.13810862440593,20.0,177.16773424519425,True,True,True,True,True,True,True,True
5,2.0217180705609508,113.28985307168833,66.68574602787406,2.9518077865837835,182.77363355879055,102.38355185845876,88.59613713814767,99.25183647484748,0.043951390575095006,46.14384885317066,112.82959488104473,136.3689936193067,238.75254547776547,20.0,182.77363355879055,True,True,True,True,True,True,True,True
6,2.9133884535452657,108.36416985332758,68.06845352053956,1.522726296536247,175.181879012394,103.09682204445913,70.7707226724078,116.93794044868804,0.026857328765415068,30.330376900408986,98.39883042094854,142.2791451636945,245.3759672081536,20.0,175.181879012394,True,True,True,True,True,True,True,True
7,2.54740996904398,114.64902631565764,59.496570999715004,1.6478779378566901,176.7647513779867,101.30512085985437,63.719390439781165,77.39372490238975,0.032205433291031274,37.155003499958255,96.65157449967326,134.34594714423926,235.65106800409364,20.0,176.7647513779867,True,True,True,True,True,True,True,True
8,2.339542492227519,104.37181252267344,59.97278089021334,2.94199001072838,182.4972439021964,109.03474399607595,47.65100750094188,117.53530656106042,0.04625663956103504,36.06338111104004,96.03616200125339,122.59146337706622,231.62620737314217,20.0,182.4972439021964,True,True,True,True,True,True,True,True
9,2.900031684522548,105.41595789817775,56.519540798087625,1.7515110475779014,181.82047477611124,100.34604363840566,40.26267972133071,105.69769307002272,0.0671656879963805,29.453456786021416,85.97299758410904,129.59505579698208,229.94109943538774,20.0,181.82047477611124,True,True,True,True,True,True,True,True
10,1.5362466039750409,108.11821169619151,50.31795371135892,2.456372911713519,180.28036927232372,100.65441573770924,79.43441947087705,110.57137600989182,0.06545080313260593,57.359418382560115,107.67737209391903,137.05489748186727,237.70931321957653,20.0,180.28036927232372,True,True,True,True,True,True,True,True
11,2.6849580435014007,109.5725214913098,55.53052228446113,1.8371390329037085,178.77855969173325,103.45594783019048,83.76029723089854,84.11087151956171,0.04888746887250798,33.36086450516748,88.8913867896286,126.56193700979301,230.01788483998348,20.0,178.77855969173325,True,True,True,True,True,True,True,True
12,1.9246087242432082,108.53460554179446,50.14496757725978,2.2244862925538467,177.18006655924745,108.02580035182321,53.16246369589838,78.40278034715143,0.036543175241278716,46.00135312002595,96.14632069728572,127.00533801163553,235.03113836345875,20.0,177.18006655924745,True,True,True,True,True,True,True,True
